City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
92,Butaritari,KI,2021-09-19 01:42:04,3.0707,172.7902,82.8,69,13,16.67
93,Kavieng,PG,2021-09-19 01:42:05,-2.5744,150.7967,83.21,76,32,14.81
94,Salmo,CA,2021-09-19 01:42:05,49.1999,-117.2689,54.09,99,100,4.0
95,Pacific Grove,US,2021-09-19 01:42:05,36.6177,-121.9166,69.57,85,40,3.0
96,Edd,ER,2021-09-19 01:42:06,13.9297,41.6925,87.15,62,57,6.8
97,Natal,BR,2021-09-19 01:42:06,-5.795,-35.2094,79.02,73,20,13.8
98,Nikolskoye,RU,2021-09-19 01:42:06,59.7035,30.7861,39.09,85,100,6.46
99,Ponta Do Sol,PT,2021-09-19 01:42:07,32.6667,-17.1,72.23,63,17,7.54
100,Arraial Do Cabo,BR,2021-09-19 01:42:07,-22.9661,-42.0278,70.07,90,8,5.75
101,Vila Velha,BR,2021-09-19 01:41:58,-20.3297,-40.2925,73.35,78,0,12.66
102,Luderitz,NA,2021-09-19 01:42:07,-26.6481,15.1594,52.74,88,33,5.21
103,Kodiak,US,2021-09-19 01:42:08,57.79,-152.4072,52.11,54,1,6.87
104,Zhenlai,CN,2021-09-19 01:42:08,45.8495,123.2973,56.62,71,99,13.44
105,Victoria,HK,2021-09-19 01:42:08,22.2855,114.1577,89.96,84,58,14.54
106,Batemans Bay,AU,2021-09-19 01:37:42,-35.7167,150.1833,64.2,31,100,12.44
107,Salalah,OM,2021-09-19 01:40:39,17.0151,54.0924,80.69,94,75,4.61
108,Arica,CL,2021-09-19 01:39:42,-18.475,-70.3042,59.23,77,90,4.61
109,Aksay,RU,2021-09-19 01:42:09,47.26,39.87,59.77,55,100,6.98
110,Lerwick,GB,2021-09-19 01:42:09,60.1545,-1.1494,55.4,93,100,18.9
111,Taoudenni,ML,2021-09-19 01:42:09,22.6783,-3.9836,94.03,17,16,22.3
112,Ketchikan,US,2021-09-19 01:42:10,55.3422,-131.6461,54.07,87,90,0.0
113,Roura,GF,2021-09-19 01:42:10,4.7263,-52.3274,82.96,89,0,0.0
114,Ippy,CF,2021-09-19 01:42:10,6.2679,21.2247,68.09,98,72,1.32
115,Chumikan,RU,2021-09-19 01:42:11,54.7183,135.315,52.05,48,94,20.58
116,Sucua,EC,2021-09-19 01:42:11,-2.4667,-78.1667,66.2,97,41,3.71
117,Umm Kaddadah,SD,2021-09-19 01:42:11,13.6017,26.6876,79.2,54,35,9.01
