City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
396,Khuzdar,PK,78.85,overcast clouds,27.7384,66.6434,jhalwan Rent A Car Moola Chotok Boking Office
399,Acarau,BR,88.48,scattered clouds,-2.8856,-40.12,castelo pizzaria
401,Martapura,ID,78.89,light rain,-3.4167,114.85,Montana Hotel Syariah
408,Ixtapa,MX,88.23,clear sky,20.7,-105.2,Hotel Plaza Providencia
409,Chinsali,ZM,78.58,broken clouds,-10.5414,32.0816,Mwiluzi Motel Chinsali Ltd
412,Ganganagar,IN,77.76,scattered clouds,29.9167,73.8833,SPOT ON 72525 Govind Guest House
414,Kudahuvadhoo,MV,83.14,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
415,Cabedelo,BR,86.67,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
418,Kandi,BJ,81.86,light rain,11.1342,2.9386,Baric Motel De Kandi
420,Colares,PT,78.98,few clouds,38.7992,-9.4469,Arribas Sintra Hotel
424,Houma,US,75.2,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
427,Willowmore,ZA,77.77,broken clouds,-33.2926,23.4895,Jumper's Place
429,Bubaque,GW,82.44,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
431,Bonthe,SL,82.45,broken clouds,7.5264,-12.505,Bonthe Holiday Village
432,Pochutla,MX,88.83,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
433,Sur,OM,87.37,clear sky,22.5667,59.5289,Sur Plaza Hotel
434,Mitsamiouli,KM,77.2,scattered clouds,-11.3847,43.2844,Foyer ADM
437,Ahmadpur East,PK,88.56,scattered clouds,29.1431,71.2598,Irfan fabrics
443,Qui Nhon,VN,77.05,light rain,13.7667,109.2333,Hoang Yen Canary Hotel
445,Oistins,BB,89.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
449,Mahon,ES,77.56,broken clouds,39.8885,4.2658,ARTIEM Capri
452,Owando,CG,83.98,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
453,Kalmunai,LK,83.17,overcast clouds,7.4167,81.8167,VS Villa
457,Port Hawkesbury,CA,76.08,scattered clouds,45.6169,-61.3485,MacKenzie House Tourist Home B&B
465,Sedhiou,SN,89.94,light rain,12.7081,-15.5569,Auberge Cheznous
472,Elizabeth City,US,80.65,broken clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
474,Mpulungu,ZM,80.83,scattered clouds,-8.7623,31.1141,Chela moche guest house
475,Bojnurd,IR,79.21,clear sky,37.4747,57.329,Homag Commercial & Social Complex
479,Batangafo,CF,77.54,light rain,7.3008,18.2833,OCHA Office
483,Mogadishu,SO,78.26,scattered clouds,2.0371,45.3438,Hotel Juba
484,Nisia Floresta,BR,88.61,scattered clouds,-6.0911,-35.2086,Rancho Crepusculo
489,La Cruz,MX,83.44,few clouds,23.9167,-106.9,LIBERADOR DE CELULAS MADRE ADULTAS
490,San Diego De Los Banos,CU,87.66,scattered clouds,22.6467,-83.3697,Casa Nalúa - Nalúa Enea
492,Kuantan,MY,79.56,broken clouds,3.8077,103.326,Hotel Sentral Kuantan
497,Lotofaga,WS,80.49,clear sky,-13.9764,-171.8578,Sataoa Beach Fales
500,Honiara,SB,76.42,overcast clouds,-9.4333,159.95,Heritage Park Hotel
504,Samarai,PG,76.84,overcast clouds,-10.6167,150.6667,Nuli Sapi
507,Carutapera,BR,88.77,overcast clouds,-1.195,-46.02,Lidera
509,Manokwari,ID,77.72,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
523,Mangrol,IN,80.31,broken clouds,21.1167,70.1167,Hotel The Royal Honours
524,Vila Do Maio,CV,86.79,broken clouds,15.1333,-23.2167,Hotel Marilu
528,Mattru,SL,81.93,moderate rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
529,Gazanjyk,TM,83.26,scattered clouds,39.2446,55.5154,Railway motel
535,Cartagena,CO,87.42,scattered clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
538,Oron,NG,76.98,overcast clouds,4.8256,8.2343,Aqua Belloni Lodge
540,Omboue,GA,79.74,broken clouds,-1.5746,9.2618,Hotel Olako
543,Ambon,ID,77.13,heavy intensity rain,-3.6954,128.1814,Swiss-Belhotel Ambon
544,Cabatuan,PH,75.49,overcast clouds,10.8794,122.486,MVC Transient Room
548,Voi,KE,76.17,overcast clouds,-3.3945,38.563,Voi Wildlife Lodge
550,Itarema,BR,88.03,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
551,Acajutla,SV,85.84,broken clouds,13.5928,-89.8275,asi es
553,Yarada,IN,80.92,mist,17.65,83.2667,Jeevan
