City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
131,Varkkallai,IN,8.7341,76.7067,82.18,87,92,11.95,overcast clouds
132,Upernavik,GL,72.7868,-56.1549,26.65,75,68,7.0,broken clouds
133,Slonim,BY,53.0867,25.3219,50.77,87,100,11.27,overcast clouds
134,San Quintin,MX,30.4833,-115.95,76.73,66,76,6.73,broken clouds
135,Luderitz,NA,-26.6481,15.1594,63.91,64,1,17.05,clear sky
136,Parksville,CA,49.3163,-124.3195,57.63,81,91,3.18,overcast clouds
137,Bethel,US,41.3712,-73.414,80.2,82,90,3.0,overcast clouds
138,Fare,PF,-16.7,-151.0167,76.73,73,10,10.25,light rain
139,Rocha,UY,-34.4833,-54.3333,58.73,80,100,4.52,overcast clouds
140,Lufilufi,WS,-13.8745,-171.5986,80.24,72,9,10.6,clear sky
141,Saint Anthony,US,45.0205,-93.218,67.87,54,1,1.99,clear sky
142,Carnarvon,AU,-24.8667,113.6333,67.21,79,0,20.11,clear sky
143,Bluff,NZ,-46.6,168.3333,47.8,71,73,29.24,broken clouds
144,Bowling Green,US,36.9903,-86.4436,66.6,52,1,9.22,clear sky
145,Altay,CN,47.8667,88.1167,45.79,37,93,4.56,overcast clouds
146,Alzamay,RU,55.5562,98.6644,39.52,94,100,1.52,overcast clouds
147,Kruisfontein,ZA,-34.0033,24.7314,66.88,62,84,22.82,broken clouds
148,Chutove,UA,49.7104,35.1603,46.26,87,100,3.87,overcast clouds
149,Mackay,AU,-21.15,149.2,60.04,66,5,7.05,clear sky
150,Lavrentiya,RU,65.5833,-171.0,30.69,68,83,0.92,broken clouds
151,Cienfuegos,CU,22.1461,-80.4356,88.61,70,20,5.75,few clouds
152,La Ronge,CA,55.1001,-105.2842,50.22,76,75,19.57,broken clouds
153,Wembley,AU,-31.9333,115.8,59.2,73,20,17.27,few clouds
154,Beckley,US,37.7782,-81.1882,55.89,82,90,1.99,overcast clouds
155,Valle De Juarez,MX,19.9333,-102.9333,66.52,66,19,4.72,few clouds
156,Masuguru,TZ,-11.3667,38.4167,89.01,27,81,2.15,broken clouds
157,Bull Savanna,JM,17.8868,-77.5902,84.04,66,3,5.7,clear sky
158,Kloulklubed,PW,7.0419,134.2556,73.9,74,100,8.43,overcast clouds
159,Lorengau,PG,-2.0226,147.2712,79.72,83,96,9.95,overcast clouds
160,Coquimbo,CL,-29.9533,-71.3436,60.53,63,0,14.97,clear sky
161,Provideniya,RU,64.3833,-173.3,32.5,76,97,2.57,overcast clouds
162,Butaritari,KI,3.0707,172.7902,81.79,75,77,13.98,light rain
163,Limbang,MY,4.75,115.0,82.51,93,100,2.28,overcast clouds
164,Valle De Allende,MX,26.9333,-105.4,70.11,51,12,9.4,few clouds
165,Ise,JP,34.4833,136.7,70.92,75,84,8.63,broken clouds
166,Girne,CY,35.3417,33.3167,82.35,61,0,28.88,clear sky
167,Thinadhoo,MV,0.5333,72.9333,83.19,77,25,21.0,scattered clouds
168,Methoni,GR,36.8197,21.7049,73.26,68,60,10.78,broken clouds
169,Vanimo,PG,-2.6741,141.3028,77.74,90,100,6.31,overcast clouds
170,Bonavista,CA,48.6499,-53.1147,58.6,81,5,8.01,clear sky
171,Mujiayingzi,CN,42.1167,118.7833,58.93,89,79,2.42,broken clouds
172,Namibe,AO,-15.1961,12.1522,68.02,86,88,4.94,overcast clouds
173,Prince Rupert,CA,54.3161,-130.3201,50.09,87,90,11.5,mist
174,Poum,NC,-20.2333,164.0167,68.88,67,69,15.84,broken clouds
175,Jackson,US,42.4165,-122.8345,59.76,72,1,0.0,clear sky
176,Carquefou,FR,47.2982,-1.4902,77.79,50,0,3.0,clear sky
177,Vagur,FO,61.4732,-6.8119,44.74,79,99,19.22,overcast clouds
178,Fort Nelson,CA,58.8053,-122.7002,43.2,53,34,1.86,scattered clouds
179,Ketchikan,US,55.3422,-131.6461,51.78,94,100,12.41,moderate rain
180,Tessalit,ML,20.1986,1.0114,102.83,14,39,1.92,scattered clouds
181,Ancud,CL,-41.8697,-73.8203,55.42,68,97,8.66,overcast clouds
182,Sinjar,IQ,36.3209,41.8754,83.17,29,0,11.72,clear sky
183,Atar,MR,20.5169,-13.0499,104.76,10,30,9.98,scattered clouds
184,Flinders,AU,-34.5833,150.8552,61.25,67,0,7.74,clear sky
185,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.49,52,57,13.94,broken clouds
186,Nanortalik,GL,60.1432,-45.2371,37.8,75,19,22.41,few clouds
187,Inta,RU,66.0317,60.1659,39.15,83,100,5.93,overcast clouds
188,San Carlos De Bariloche,AR,-41.1456,-71.3082,55.15,28,0,6.91,clear sky
189,Elwood,AU,-37.8817,144.983,56.25,72,0,1.01,clear sky
190,Longyearbyen,SJ,78.2186,15.6401,46.24,61,40,6.91,scattered clouds
191,Olinda,BR,-8.0089,-34.8553,83.93,54,20,8.05,few clouds
192,Chuy,UY,-33.6971,-53.4616,56.7,89,100,5.19,overcast clouds
193,Kaeo,NZ,-35.1,173.7833,56.32,93,94,13.0,overcast clouds
194,Sai Buri,TH,6.7013,101.6168,79.39,83,84,4.27,broken clouds
195,Salinopolis,BR,-0.6136,-47.3561,86.63,61,69,11.03,broken clouds
196,Nayoro,JP,44.3506,142.4578,51.19,96,100,8.55,overcast clouds
197,Gewane,ET,10.1664,40.6453,92.66,32,5,1.86,clear sky
198,Tanabi,BR,-20.6264,-49.6492,95.09,19,5,3.71,clear sky
199,Pandegelang,ID,-6.31,106.1058,79.47,90,96,1.52,overcast clouds
200,Snezhnogorsk,RU,69.1933,33.2531,44.38,71,50,10.47,scattered clouds
201,Norman Wells,CA,65.282,-126.8329,32.79,87,98,1.95,overcast clouds
202,Faya,SA,18.3851,42.4509,70.32,58,62,7.16,broken clouds
203,Orchard Homes,US,46.8633,-114.0484,56.28,71,1,0.0,clear sky
204,Nelson Bay,AU,-32.7167,152.15,59.29,75,0,11.3,clear sky
205,Sturgeon Bay,US,44.8342,-87.377,63.21,71,1,24.16,clear sky
206,Meulaboh,ID,4.1363,96.1285,79.0,84,91,2.57,overcast clouds
207,Guerrero Negro,MX,27.9769,-114.0611,76.08,68,5,4.43,clear sky
208,Paris,FR,48.8534,2.3488,76.05,51,0,1.01,clear sky
209,Cockburn Town,TC,21.4612,-71.1419,82.72,73,89,3.38,overcast clouds
210,Jalu,LY,29.0331,21.5482,97.05,12,0,13.27,clear sky
211,Coruripe,BR,-10.1256,-36.1756,83.5,63,46,12.5,scattered clouds
212,Pangody,RU,65.85,74.4859,38.23,91,100,17.96,overcast clouds
213,Parakai,NZ,-36.65,174.4333,58.64,95,90,19.17,overcast clouds
214,Taganak,PH,6.0833,118.3,82.8,75,81,4.79,broken clouds
215,Progreso,MX,21.2833,-89.6667,87.12,67,100,6.67,overcast clouds
216,Kovdor,RU,67.5662,30.4758,41.11,78,62,13.13,broken clouds
217,Acapulco,MX,16.8634,-99.8901,84.02,84,75,3.44,broken clouds
218,Lima,PE,-12.0432,-77.0282,60.39,87,90,1.01,overcast clouds
219,Pevek,RU,69.7008,170.3133,28.18,96,100,3.02,light snow
220,Saint-Philippe,RE,-21.3585,55.7679,71.19,79,38,12.93,scattered clouds
221,Khatanga,RU,71.9667,102.5,33.76,98,100,5.59,overcast clouds
222,Ponta Delgada,PT,37.7333,-25.6667,72.32,68,75,11.5,broken clouds
223,Jiayuguan,CN,39.8167,98.3,63.82,29,92,4.56,overcast clouds
224,Bathsheba,BB,13.2167,-59.5167,90.21,66,40,12.66,scattered clouds
225,Bintulu,MY,3.1667,113.0333,79.75,81,99,5.06,overcast clouds
226,Dukuhturi,ID,-6.9,109.0833,79.47,84,75,4.76,broken clouds
227,Saint George,US,37.1041,-113.5841,79.54,26,1,0.0,clear sky
228,Zherdevka,RU,51.8486,41.4606,49.98,66,100,4.21,overcast clouds
229,Morgan City,US,29.6994,-91.2068,75.2,49,1,12.66,clear sky
230,Maragogi,BR,-9.0122,-35.2225,83.12,64,26,9.62,scattered clouds
231,Ponta Do Sol,PT,32.6667,-17.1,75.83,74,100,5.68,overcast clouds
232,Aasiaat,GL,68.7098,-52.8699,22.77,82,96,7.0,overcast clouds
233,Lompoc,US,34.6391,-120.4579,60.48,94,90,0.0,overcast clouds
234,Alice Springs,AU,-23.7,133.8833,49.55,32,6,5.75,clear sky
235,Kodiak,US,57.79,-152.4072,42.31,81,90,10.36,moderate rain
236,Xai-Xai,MZ,-25.0519,33.6442,67.42,67,3,12.15,clear sky
237,Altamura,IT,40.8292,16.5537,65.59,55,38,17.0,scattered clouds
238,Aksarka,RU,66.5606,67.7975,37.04,82,23,2.89,few clouds
239,Broome,US,42.2506,-75.833,74.19,78,90,3.0,heavy intensity rain
240,Fereydun Kenar,IR,36.6864,52.5225,75.22,75,57,3.49,broken clouds
241,Chokurdakh,RU,70.6333,147.9167,26.65,93,100,5.14,overcast clouds
242,Manzhouli,CN,49.6,117.4333,43.29,80,100,8.57,overcast clouds
243,Caluquembe,AO,-13.7833,14.6833,89.53,9,84,9.1,broken clouds
244,Terrace,CA,54.5163,-128.6035,49.42,100,90,2.3,shower rain
245,Bakel,SN,14.905,-12.4568,88.21,47,100,4.54,overcast clouds
246,Marzuq,YE,14.4,46.4667,85.48,15,2,5.93,clear sky
247,Okhotsk,RU,59.3833,143.3,46.27,75,2,1.16,clear sky
248,Marawi,PH,7.9986,124.2928,67.64,96,86,0.76,overcast clouds
249,Kawalu,ID,-7.3817,108.2082,72.28,96,97,2.48,overcast clouds
250,Orneta,PL,54.1148,20.1333,55.99,85,100,19.8,overcast clouds
251,North Bend,US,43.4065,-124.2243,57.11,94,1,6.91,clear sky
252,Avarua,CK,-21.2078,-159.775,71.65,56,40,8.05,scattered clouds
253,Pietersburg,ZA,-23.9045,29.4688,63.0,28,0,8.61,clear sky
254,Korla,CN,41.7597,86.1469,69.84,28,1,5.17,clear sky
255,Oyama,JP,36.3,139.8,76.03,76,63,2.98,broken clouds
256,Venado Tuerto,AR,-33.7456,-61.9688,63.77,47,18,7.25,few clouds
257,Muisne,EC,0.6,-80.0333,75.49,81,99,9.26,overcast clouds
258,Abu Dhabi,AE,24.4667,54.3667,91.51,55,0,9.22,clear sky
259,Muros,ES,42.7762,-9.0603,79.84,51,5,14.03,clear sky
260,Beyneu,KZ,45.3167,55.2,67.89,31,100,23.89,overcast clouds
261,Faanui,PF,-16.4833,-151.75,77.13,71,14,8.63,few clouds
262,Lensk,RU,60.7253,114.9278,37.29,94,100,1.74,overcast clouds
263,Phalombe,MW,-15.8064,35.6507,70.36,62,75,7.02,broken clouds
264,Purpe,RU,64.4803,76.6897,37.49,97,100,14.88,light rain
265,Cairns,AU,-16.9167,145.7667,70.11,73,90,9.22,overcast clouds
266,Merauke,ID,-8.4667,140.3333,76.55,82,91,14.83,overcast clouds
267,Ampanihy,MG,-24.7,44.75,68.27,72,37,17.13,scattered clouds
268,Atherton,GB,53.5237,-2.4935,63.59,81,98,1.99,overcast clouds
269,Miandoab,IR,36.9694,46.1027,72.99,21,0,13.27,clear sky
270,Aranos,NA,-24.1333,19.1167,89.89,5,0,10.89,clear sky
271,Antalaha,MG,-14.9003,50.2788,71.53,74,0,12.8,clear sky
272,Adrar,MR,20.5022,-10.0711,103.12,9,22,11.72,few clouds
273,Gamba,GA,-2.65,10.0,78.3,76,62,9.75,broken clouds
274,Lodja,CD,-3.4833,23.4333,76.66,78,96,4.12,moderate rain
275,Rio Brilhante,BR,-21.8019,-54.5464,92.98,22,50,5.97,scattered clouds
276,Takoradi,GH,4.8845,-1.7554,79.84,81,90,10.07,overcast clouds
277,Pedernales,DO,18.0384,-71.744,84.15,72,29,5.77,scattered clouds
278,Kabelvag,NO,68.2114,14.4817,52.54,76,75,10.36,broken clouds
279,Agirish,RU,61.9247,63.0231,42.26,80,100,2.1,overcast clouds
280,Pacasmayo,PE,-7.4006,-79.5714,67.32,75,95,9.91,overcast clouds
281,Morant Bay,JM,17.8815,-76.4093,85.66,71,18,5.73,few clouds
282,Leavenworth,US,39.2333,-95.0336,71.46,55,0,3.0,clear sky
283,Buchanan,LR,5.8808,-10.0467,82.04,74,69,9.84,light rain
284,Clyde River,CA,70.4692,-68.5914,31.41,67,100,10.02,overcast clouds
285,Camabatela,AO,-8.1881,15.375,73.87,64,87,4.12,overcast clouds
286,Souris,CA,49.6172,-100.2612,64.74,34,71,16.2,broken clouds
287,Port Hardy,CA,50.6996,-127.4199,51.4,79,100,0.89,overcast clouds
288,Santiago,CL,-33.4569,-70.6483,71.04,30,0,0.0,clear sky
289,Aykhal,RU,66.0,111.5,33.06,80,38,5.57,scattered clouds
290,Hazorasp,UZ,41.3194,61.0742,66.04,16,0,13.65,clear sky
291,Biggar,GB,55.6167,-3.5167,61.09,90,98,11.56,overcast clouds
292,Antofagasta,CL,-23.65,-70.4,68.22,59,12,9.62,few clouds
293,Alofi,NU,-19.0595,-169.9187,74.44,64,34,15.3,scattered clouds
294,Matay,EG,28.419,30.7792,92.43,24,0,12.77,clear sky
295,Bokovskaya,RU,49.229,41.8306,52.68,54,69,3.13,broken clouds
296,Nawa,IN,27.0167,75.0,78.46,84,100,6.22,overcast clouds
297,Rabo De Peixe,PT,37.8,-25.5833,71.11,68,75,11.5,broken clouds
298,Watrous,CA,51.6668,-105.4679,61.12,37,8,18.66,clear sky
299,Killybegs,IE,54.6333,-8.45,62.46,83,90,13.33,overcast clouds
300,Margate,GB,51.3813,1.3862,71.69,78,100,7.83,overcast clouds
301,Bengkulu,ID,-3.8004,102.2655,76.8,90,74,4.27,broken clouds
302,Bilaspur,IN,22.0833,82.15,77.34,89,72,4.38,broken clouds
303,Padang,ID,-0.9492,100.3543,78.85,87,50,3.31,scattered clouds
304,Portobelo,PA,9.55,-79.65,84.85,73,90,4.18,overcast clouds
305,Fortuna,US,40.5982,-124.1573,54.52,96,1,8.05,clear sky
306,Kendari,ID,-3.945,122.4989,71.78,95,99,2.68,overcast clouds
307,Mabaruma,GY,8.2,-59.7833,93.47,45,25,4.14,scattered clouds
308,Leningradskiy,RU,69.3833,178.4167,24.42,95,100,5.75,overcast clouds
309,Lai,TD,9.3952,16.2989,76.86,84,98,3.42,overcast clouds
310,Pisco,PE,-13.7,-76.2167,66.02,77,75,10.36,broken clouds
311,Eyl,SO,7.9803,49.8164,78.35,82,66,21.9,broken clouds
312,Palmer,US,42.1584,-72.3287,80.2,67,75,8.01,broken clouds
313,Kupang,ID,-10.1667,123.5833,77.4,68,54,12.19,broken clouds
314,Qinhuangdao,CN,39.9317,119.5883,63.93,80,84,6.04,light rain
315,Sharan,RU,54.8167,54.0,53.65,57,100,9.4,overcast clouds
